feature,importance
hours_since_maint_comp1,2338
hours_since_maint_comp4,2018
hours_since_maint_comp2,1980
hours_since_maint_comp3,1892
vibration_mean_24h,1430
volt_mean_24h,1346
pressure_mean_24h,1137
rotate_mean_24h,1130
error_error1_count_24h,1120
error_error4_count_24h,896
rotate_mean_12h,867
error_error5_count_24h,838
hour_of_day,769
volt_mean_12h,755
vibration_mean_12h,717
vibration_std_24h,695
rotate_std_24h,693
age,651
pressure_mean_12h,632
error_error3_count_24h,559
volt_std_24h,516
error_error2_count_24h,466
pressure_std_24h,444
vibration_mean_3h,427
pressure_mean_3h,412
day_of_week,403
volt_diff_24h,380
vibration_std_12h,373
model_model2,364
pressure_diff_24h,347
vibration_diff_24h,319
volt_mean_3h,286
rotate_std_12h,283
pressure_std_12h,280
rotate_mean_3h,277
volt_std_12h,268
rotate_diff_24h,257
model_model1,253
model_model3,226
volt,190
pressure,177
vibration_std_3h,173
rotate_std_3h,172
volt_std_3h,149
pressure_std_3h,132
vibration,128
rotate,84
